roll,u_x,u_y,yaw_der,steering,throttle,u_x_der,u_y_der,yaw_der_der,roll_der
-0.04763667056976993,0.001368339703161338,0.000293350406261337,-0.006890136463927629,0.0,-0.008481373383663612,-0.0004499536821097263,-0.00044900648361663334,0.006890136463927629,0.0075757362033398905
-0.0840967193936641,0.001368339703161338,-0.002320773545449932,0.0478999197658147,0.0,0.013688220006099807,0.0023888025555365996,0.0006460831651652205,-0.0478999197658147,0.11858522561605653
-0.07379047312753964,0.0012124753308266427,-8.549537769114016e-05,0.05605192795533349,-3.0689445280010125e-07,-0.027716332675062457,-0.00035604842024746566,0.0011621684085832877,-0.05605192795533349,0.11478032397780001
-0.0773013486992436,0.0012953735222320515,-0.006185168490633833,0.00044510640644037616,-8.803039228154901e-05,0.1618429980944115,0.004791869990352294,0.004119743173450329,-0.00044510640644037616,-0.014610846048209357
-0.07498158348595843,0.0005545781809911158,-0.027963522124491703,-0.06951452032911795,-0.00015624996961186038,0.3626193282779598,0.025311797509660037,0.011898698811035441,0.06951452032911795,-0.19366685696734426
-0.07724307907684655,0.0002059878512782857,-0.029797967330014063,-0.06959396998212232,1.2859503437254116e-05,0.3712691648253951,0.026428374707928394,0.013765983375436365,0.06959396998212232,-0.1840864464585239
-0.07544652406233546,0.00021749127584330788,-0.010235365299136616,-0.028355480678941745,-0.0004332788933712489,0.40764498836278995,0.009173332772659741,0.004545324092282605,0.028355480678941745,-0.05587976465401662
-0.07606578514727656,3.313580389024516e-05,0.002559787964215099,0.003841789929920844,0.00034236971438142915,0.4060038791623128,-0.002308331001140925,-0.001106896739724021,-0.003841789929920844,0.012850951403206176
-0.07616618175544967,3.313580389024516e-05,-0.0017076420325494535,7.786477542792609e-05,-0.0009930247202186695,0.4221598709337693,0.0016650537643676706,0.00047772156377408136,-7.786477542792609e-05,0.005247124213930639
-0.07558215839794342,0.0011876258272247473,0.001291822806877467,0.0048662666409446925,0.0011040050332261292,0.41296653572214,-0.0016819468772688992,0.0005003158721302389,-0.0048662666409446925,-0.008919192347780273
-0.07625643001379959,0.0011876258272247473,-0.0012554918952910866,0.0036055908267556658,-0.0020283955442754846,0.3970537676187777,0.0019463979888711754,-0.0011352155395268375,-0.0036055908267556658,0.028120788666755228
